Contrôle;;;;;Evolution;;;;;;;Animal;;;;;;Reproduction;;;;
Lait;Leuco;Ma;TB;TP;%Var;Evol Leuco;Leuco;SDI;Ma;Evol TP;TP;N° National;Nom;Trav;Race;La;Ctr;Date ins.;Taureau;V-I1;Rg;Tar.
S;;;;;;;;D;1;;;FR5381249183  ;MAJORETTE;9183;39;7;;20/10/25;UCELLO;107;3;
S;;;;;;;;;;;;FR5381249580  ;SAFARI;9580;39;2;;19/10/25;UCELLO;43;2;
05,7;1465;;38,0;33,9;-16;;562;R;1;;;FR5381248668  ;FELLAH;8668;39;13;4;30/12/25;U40;48;3;14/08/26
T;;;;;;;;D;;;;FR5381248864  ;HYACINTHE;8864;39;10;;;A inséminer;;;
07,6;357;;37,9;27,8;15;;132;D;;;30,2;FR5381248913  ;IGNIAME;8913;39;9;2;17/01/26;U40;83;1;01/09/26
07,8;388;;39,5;30,7;-13;;154;I;;;;FR5381248961  ;ISIS;8961;39;8;4;20/01/26;U40;218;1;04/09/26
10,2;41;;44,6;31,7;;;;;;;;FR5381249002  ;JOYEUSE;9002;35;8;1;;;;;
12,9;676;;31,6;28,2;-4;;143;D;;;;FR5381249020  ;;9020;39;9;3;04/11/25;UCELLO;51;1;19/06/26
06,1;1410;;32,1;31,0;-25;;277;D;;;;FR5381249048  ;LUTECE;9048;39;9;3;19/10/25;UCELLO;22;2;03/06/26
08,3;249;;33,1;29,8;-5;;189;S;;;;FR5381249064  ;LAFONTAINE;9064;39;8;4;27/10/25;UCELLO;23;3;11/06/26
08,1;1651;;42,5;34,6;-8;;1361;R;;;36,8;FR5381249093  ;LAZURE;9093;39;8;2;;;;;
10,8;1468;;39,0;30,2;-7;;386;D;;;;FR5381249117  ;LAMBADA;9117;39;8;4;05/07/25;SIROCCO;56;1;17/02/26
08,5;167;;40,9;34,0;-2;;74;D;;;;FR5381249120  ;LAROUSSE;9120;39;7;5;12/09/25;SIROCCO;165;1;27/04/26
12,6;17;;36,6;26,9;-2;;22;S;;;;FR5381249140  ;MAGNOLIA;9140;39;7;3;28/10/25;UCELLO;10;3;12/06/26
06,6;23;;32,4;24,8;5;;73;S;;;;FR5381249141  ;MALAGA;9141;39;7;5;12/09/25;SIROCCO;123;2;27/04/26
13,1;26;;32,2;24,0;-5;;26;S;;;29,1;FR5381249175  ;MAMBA;9175;39;8;2;11/12/25;UCELLO;44;1;26/07/26
16,4;115;;39,4;31,9;;;;;;;;FR5381249193  ;MOKA;9193;39;8;1;;;;;
08,2;64;;41,0;30,9;;;115;S;;;;FR5381249199  ;MIRTILLE;9199;39;6;6;16/10/25;UCELLO;80;3;31/05/26
09,1;457;;38,2;31,2;-8;;95;D;;;;FR5381249217  ;METIS;9217;39;6;8;27/12/25;U40;189;4;11/08/26
TT;;;;;;;;D;;;;FR5381249222  ;MARGUERITE;9222;39;6;;07/07/25;SIROCCO;72;2;
T;;;;;;;;S;;;;FR5381249235  ;NAIROBIE;9235;39;6;;;A inséminer;;;
06,3;105;;42,7;35,8;6;;251;S;;;;FR5381249251  ;NIRVANA;9251;39;6;5;20/09/25;SIROCCO;203;1;05/05/26
07,9;15;;29,1;25,5;-6;;57;S;;;;FR5381249255  ;NIAOULIE;9255;39;6;5;;A inséminer;;;
09,6;24;;40,1;30,3;-13;;28;S;;;29,2;FR5381249259  ;NEBULEUSE;9259;39;7;2;03/01/26;U40;60;1;18/08/26
