Animal;;;;Lactation;;Contrôles;;;;;;;;;;;
Trav;Nom;Race;Index;N°;Début;22/04/24;11/06/24;24/07/24;26/09/24;30/10/24;28/11/24;28/01/25;28/04/25;01/08/25;09/10/25;06/01/26;04/03/26
8668;FELLAH;39;;13;01/06/25;13,1;10,4;13,1;08,0;06,5;04,2;;;09,4;10,2;08,1;05,7
8864;HYACINTHE;39;;10;25/03/25;11,5;12,0;10,4;08,0;11,9;04,3;;16,4;07,0;11,6;08,6;
8913;IGNIAME;39;;9;26/10/25;;13,5;14,2;09,7;09,3;09,4;08,0;08,8;;;05,9;07,6
8961;ISIS;39;;8;16/06/25;17,4;20,3;18,4;13,1;17,2;07,0;08,6;;11,8;12,0;10,3;07,8
9002;JOYEUSE;35;;8;20/02/26;;;;;;;10,4;13,2;04,5;09,9;;10,2
9020;;39;;9;14/09/25;;;;08,3;13,9;08,4;09,5;10,7;;18,1;13,9;12,9
9048;LUTECE;39;;9;09/08/25;;;;21,6;22,4;11,6;10,8;12,0;;19,1;11,3;06,1
9064;LAFONTAINE;39;;8;20/05/25;;08,6;16,7;11,2;10,1;06,8;09,1;;07,3;11,2;09,1;08,3
9093;LAZURE;39;;8;17/11/25;;;;;;13,2;11,0;13,3;08,1;14,2;09,6;08,1
9117;LAMBADA;39;;8;10/05/25;;17,4;17,6;13,1;18,4;07,1;08,2;;11,0;15,2;12,3;10,8
9120;LAROUSSE;39;;7;31/03/25;;15,1;15,6;12,9;14,5;08,1;07,7;18,1;07,6;11,9;08,9;08,5
9140;MAGNOLIA;39;;7;20/09/25;;;17,6;13,6;12,8;12,1;09,6;13,9;;14,8;13,2;12,6
9141;MALAGA;39;;7;14/03/25;14,5;15,2;13,6;09,0;08,1;04,2;;14,8;08,3;11,0;06,0;06,6
9175;MAMBA;39;;8;28/10/25;;;;13,5;12,0;10,7;08,8;13,9;05,6;;14,6;13,1
9193;MOKA;39;;8;31/01/26;;;;;16,4;07,4;10,8;16,1;07,6;05,9;;16,4
