Animal;;;;Lactation;;Contrôles;;;;;;;;;;;
Trav;Nom;Race;Index;N°;Début;22/04/24;11/06/24;24/07/24;26/09/24;30/10/24;28/11/24;28/01/25;28/04/25;01/08/25;09/10/25;06/01/26;04/03/26
8668;FELLAH;39;;13;01/06/25;35,0;25,1;27,7;39,0;36,0;38,5;;;36,0;25,8;33,6;38,0
8864;HYACINTHE;39;;10;25/03/25;35,1;33,0;35,8;44,2;40,3;42,2;;37,9;41,4;38,3;51,2;
8913;IGNIAME;39;;9;26/10/25;;30,2;37,5;36,4;29,6;35,6;48,7;45,5;;;33,6;37,9
8961;ISIS;39;;8;16/06/25;34,7;39,7;34,8;44,8;47,5;50,4;47,8;;40,7;38,2;39,5;39,5
9002;JOYEUSE;35;;8;20/02/26;;;;;;;42,3;38,3;25,5;42,7;;44,6
9020;;39;;9;14/09/25;;;;25,7;27,7;39,0;39,4;35,1;;41,1;39,6;31,6
9048;LUTECE;39;;9;09/08/25;;;;42,0;42,1;32,3;34,5;32,2;;32,4;34,3;32,1
9064;LAFONTAINE;39;;8;20/05/25;;22,8;32,9;40,4;24,0;41,2;35,9;;27,6;35,4;42,9;33,1
9093;LAZURE;39;;8;17/11/25;;;;;;41,9;35,1;39,4;40,8;45,3;45,9;42,5
9117;LAMBADA;39;;8;10/05/25;;31,5;34,5;32,3;32,0;30,3;40,9;;HN;32,1;38,1;39,0
9120;LAROUSSE;39;;7;31/03/25;;37,2;36,3;41,8;41,8;43,0;46,1;31,3;32,7;32,0;45,8;40,9
9140;MAGNOLIA;39;;7;20/09/25;;;37,3;43,8;43,4;43,1;43,4;41,0;;42,9;48,4;36,6
9141;MALAGA;39;;7;14/03/25;36,2;35,5;38,6;43,6;49,2;45,4;;34,6;30,6;44,7;68,1;32,4
9175;MAMBA;39;;8;28/10/25;;;;37,8;40,5;35,9;40,9;38,5;43,8;;41,5;32,2
9193;MOKA;39;;8;31/01/26;;;;;47,0;39,1;40,5;39,7;48,2;52,2;;39,4
9199;MIRTILLE;39;;6;03/01/25;37,8;36,9;39,6;42,2;50,3;;37,7;39,8;37,8;39,7;58,8;41,0
9217;METIS;39;;6;21/10/24;42,0;40,7;44,2;;41,7;37,8;39,5;35,5;40,4;43,0;49,1;38,2
9222;MARGUERITE;39;;6;04/02/25;37,6;37,5;39,3;50,7;49,5;54,2;;39,4;43,1;33,4;;
9235;NAIROBIE;39;;6;04/07/25;;;34,0;38,5;36,4;37,4;41,4;36,3;38,2;33,7;47,6;
9251;NIRVANA;39;;6;01/03/25;37,0;37,4;39,1;44,9;41,7;39,8;;35,5;47,9;39,7;55,5;42,7
9255;NIAOULIE;39;;6;29/03/25;;37,2;36,4;43,6;42,4;43,2;;35,1;50,5;44,5;60,8;29,1
9259;NEBULEUSE;39;;7;04/11/25;;;;36,8;52,1;27,5;36,9;36,9;;;41,8;40,1
9267;NAMI;39;;5;28/02/25;37,9;37,0;38,9;46,0;44,3;49,1;;34,2;40,0;39,3;58,0;33,9
9270;NECTARINE;39;;6;12/07/25;;;;37,0;34,5;36,9;34,7;34,7;31,5;30,3;47,0;37,7
9291;OLYMPIE;39;;5;16/02/25;36,9;35,5;38,0;41,6;43,4;50,9;;36,7;31,5;31,1;54,0;34,3
9293;OGRESSE;39;;4;23/03/25;41,4;35,7;42,9;41,7;42,9;45,6;;39,8;46,7;41,7;50,6;42,3
9313;OMELETTE;39;;6;09/11/25;;;;;;35,1;35,6;25,8;34,1;44,1;54,5;34,1
9318;ORIGINE;39;;4;18/02/25;35,7;35,3;39,2;45,7;43,7;50,2;;34,7;44,7;39,5;52,8;24,7
9326;ORGE;39;;6;03/12/25;;;;;;;30,9;28,9;28,9;;30,2;39,1
9335;OXYGENE;39;;6;28/02/26;;;;;;;;34,8;37,4;40,1;;
9344;PAQUERETTE;39;;5;10/02/26;;;;37,2;31,9;36,3;31,7;36,8;36,7;;;38,8
9347;PANACEE;39;;4;03/12/25;;;;42,7;41,7;42,5;48,6;41,5;47,6;;44,7;35,2
9367;PAELLA;39;;5;03/09/25;;;;37,9;35,4;27,3;35,0;37,6;;37,0;45,2;36,8
9372;PISTACHE;39;;5;15/09/25;;;;;;36,0;39,8;38,0;47,9;40,6;44,1;30,2
9376;PACIFIQUE;39;;5;21/10/25;;;;;29,0;HN;32,5;31,1;;;37,0;35,7
9379;PAILLE;39;;5;06/01/26;;;;;;;41,3;40,4;44,7;46,2;;33,6
9387;PAISIBLE;39;;5;06/11/25;;;;;;31,5;33,9;34,5;43,8;;36,1;33,4
9388;POLYNESIE;39;;6;09/02/26;;;;;;;;;;32,8;37,5;32,1
9391;PENELOPE;39;;5;29/01/26;;;;;;;;37,2;41,7;40,1;;35,0
9398;PISSENLIE;39;;4;08/07/25;;;HN;38,0;31,9;38,5;39,0;37,3;40,2;HN;44,7;29,7
9399;PYGMEE;39;;4;17/05/25;36,6;35,9;35,4;35,0;43,6;;;;43,9;43,7;47,6;37,2
9404;PASSIFLORE;39;;2;27/05/25;41,7;42,0;51,8;66,2;64,5;61,1;;;39,7;39,7;49,1;37,0
9406;PIVOINE;39;;4;26/05/25;;;32,8;41,2;41,4;31,1;41,8;;35,4;HN;48,3;42,6
9408;PATATA;39;;3;18/05/25;37,7;38,2;41,7;47,6;50,8;58,9;54,7;;37,1;33,4;44,6;37,8
9411;PAPAYE;39;;4;27/04/25;;;35,8;37,6;38,6;42,7;41,3;;38,8;42,4;51,4;27,7
9413;PADAWANE;39;;4;13/01/26;;;;;;;30,4;30,3;35,4;35,5;;36,1
9415;RAINETTE;39;;3;27/05/25;36,2;35,5;40,6;46,5;45,9;45,4;43,5;;31,8;32,6;41,5;29,9
9419;ROXANE;39;;4;18/11/25;;;;40,6;36,6;32,1;35,5;32,9;37,2;;40,4;40,2
9427;ROBUSTA;39;;3;18/03/25;;35,6;40,6;45,4;45,3;47,3;;35,3;41,7;39,2;52,4;27,9
9432;RAPIDE;39;;5;24/02/26;;;;;;;;;;27,7;;33,5
9435;RHUBARBE;39;;3;05/07/25;;;58,3;37,2;36,1;35,5;34,9;40,4;38,3;HN;40,7;36,7
9438;REGION;39;;3;20/05/25;39,2;39,7;41,1;44,5;48,6;43,4;50,5;;35,4;39,7;46,0;34,1
9447;RAVIGOTE;39;;3;23/05/25;40,7;40,9;44,4;51,7;52,8;50,5;52,6;;39,0;40,0;49,0;32,9
9448;RAMETTE;39;;4;27/11/25;;;;;30,8;35,0;42,5;35,8;41,0;44,9;41,0;37,9
9449;RUTABAGA;39;;3;30/05/25;29,1;45,8;39,1;44,9;57,9;39,9;45,2;;33,9;39,2;40,8;
9460;RADJAH;39;;3;27/05/25;39,7;38,0;39,9;49,4;48,1;47,4;53,7;;38,1;38,5;59,2;35,1
9462;RIVIERE;39;;3;20/05/25;36,4;36,8;40,6;42,5;37,3;37,4;44,2;;35,1;34,8;42,1;32,2
9464;ROQUETTE;39;;3;27/05/25;35,7;37,8;39,5;46,1;44,6;49,6;41,5;;36,7;43,8;47,9;
9473;RICOCHETTE;39;;3;31/12/25;;;;32,2;34,7;41,4;39,1;37,1;40,1;52,1;;33,7
9480;RATOMA;39;;3;20/05/25;;;HN;41,5;46,0;40,0;42,3;;42,0;43,8;47,1;37,9
9498;REVEILLONE;39;;3;26/04/25;;;34,5;41,0;42,0;39,4;41,6;;39,2;41,6;46,3;35,7
9504;SIDOINE;39;;3;20/05/25;;;31,9;39,7;40,6;38,4;39,2;;35,7;36,6;47,1;26,9
9509;SOLSTICE;39;;3;06/07/25;46,9;41,2;;;;;;;35,3;35,9;45,2;29,5
9511;SINCERE;39;;3;09/12/25;;;;35,9;32,7;37,0;36,7;37,8;45,6;;;32,6
9517;SUPREME;39;;3;06/12/25;;;;;;;35,2;36,9;41,3;;36,5;29,9
9529;SOLUBLE;39;;3;13/02/26;;;;;;;;30,8;39,5;33,7;;37,7
9530;;39;;2;16/05/25;35,0;34,0;39,6;41,6;42,0;39,9;44,8;;34,8;30,6;46,3;31,8
9531;;39;;2;03/06/25;32,6;36,8;43,7;43,2;46,2;41,0;41,6;;36,2;34,3;41,2;38,0
9533;SUBLIME;39;;2;27/05/25;33,1;37,9;39,4;42,8;44,8;42,8;48,7;;35,4;47,3;47,4;29,4
9534;SOUVERAINE;39;;3;11/01/26;;;;;;;36,6;37,1;35,4;35,5;;40,0
9537;SATURNE;39;;3;03/03/26;;;;;;;;34,2;39,7;42,9;44,5;
9585;SUCRINE;39;;2;12/11/25;;;;;;40,2;32,7;33,2;40,1;41,1;54,2;35,6
9593;TULIPE;39;;2;22/10/25;;;;;;66,5;39,3;40,0;42,0;43,1;53,3;40,0
9603;THOUERIS;39;;2;12/11/25;;;;;;41,4;33,2;41,5;21,3;31,2;35,3;36,2
9604;TOPAZE;39;;2;19/11/25;;;;;;50,4;45,7;44,6;38,5;38,8;46,7;41,1
9610;TAHITI;39;;1;12/04/25;;;;;;;;;38,6;41,7;49,8;41,0
9612;TISANE;39;;1;26/11/24;;;;;;;33,6;39,6;43,5;43,9;42,8;40,1
9613;TITANE;39;;1;14/03/25;;;;;;;;33,1;38,3;47,7;52,2;37,9
9620;TRUFFE;39;;1;09/05/25;;;;;;;;;38,4;39,6;46,7;33,8
9631;TANZANIE;39;;1;16/09/25;;;;;;;;;;37,8;48,5;35,9
9638;TIJUANA;39;;1;19/08/25;;;;;;;;;;41,2;48,0;NA
9639;TARATATA;39;;1;31/08/25;;;;;;;;;;35,5;43,7;37,2
9641;TREFLE;39;;1;25/08/25;;;;;;;;;;40,5;50,8;39,0
9667;TEMERAIRE;39;;1;24/02/26;;;;;;;;;;;;
9671;TOUCANA;39;;1;29/08/25;;;;;;;;;;37,3;51,3;40,9
9677;TAGADA;35;;1;08/02/26;;;;;;;;;;;;45,9
9682;UTOPIA;39;;1;17/02/26;;;;;;;;;;;;49,4
9685;ULTRA;39;;1;28/02/26;;;;;;;;;;;;
9694;URANUS;39;;1;10/01/26;;;;;;;;;;;;35,8
9696;URAEUS;39;;1;29/01/26;;;;;;;;;;;;36,3
9700;UPA UPA;39;;1;24/02/26;;;;;;;;;;;;
9714;USOPPA;39;;1;16/02/26;;;;;;;;;;;;51,1
9734;URE;39;;1;24/02/26;;;;;;;;;;;;
