Animal;;;;Lactation;;Contrôles;;;;;;;;;;;
Trav;Nom;Race;Index;N°;Début;22/04/24;11/06/24;24/07/24;26/09/24;30/10/24;28/11/24;28/01/25;28/04/25;01/08/25;09/10/25;06/01/26;04/03/26
8668;FELLAH;39;;13;01/06/25;29,8;34,6;30,8;36,0;34,5;37,2;;;32,9;33,3;35,1;33,9
8864;HYACINTHE;39;;10;25/03/25;31,9;33,2;33,8;38,3;36,0;34,6;;29,8;30,1;32,8;35,4;
8913;IGNIAME;39;;9;26/10/25;;31,0;29,6;33,3;31,7;30,9;29,5;35,2;;;30,2;27,8
8961;ISIS;39;;8;16/06/25;30,9;32,6;31,7;36,5;37,1;41,0;35,4;;29,2;35,2;36,3;30,7
9002;JOYEUSE;35;;8;20/02/26;;;;;;;28,8;32,6;32,3;35,9;;31,7
9020;;39;;9;14/09/25;;;;29,4;30,3;31,0;29,9;34,8;;31,1;31,0;28,2
9048;LUTECE;39;;9;09/08/25;;;;32,2;31,5;31,6;29,7;35,9;;29,6;32,3;31,0
9064;LAFONTAINE;39;;8;20/05/25;;32,1;31,1;33,2;31,7;31,4;31,4;;31,2;31,3;34,8;29,8
9093;LAZURE;39;;8;17/11/25;;;;;;36,3;27,6;36,3;32,4;36,8;36,8;34,6
9117;LAMBADA;39;;8;10/05/25;;30,9;27,5;31,6;29,4;30,4;34,6;;HN;29,3;31,1;30,2
9120;LAROUSSE;39;;7;31/03/25;;33,7;31,8;33,0;31,7;31,9;34,7;34,1;30,8;34,7;35,1;34,0
9140;MAGNOLIA;39;;7;20/09/25;;;30,7;33,9;31,1;33,0;32,4;38,1;;31,2;32,7;26,9
9141;MALAGA;39;;7;14/03/25;30,7;33,1;32,2;36,6;38,2;43,8;;31,1;30,6;34,0;40,6;24,8
9175;MAMBA;39;;8;28/10/25;;;;30,6;27,9;29,8;28,8;34,7;37,4;;29,1;24,0
9193;MOKA;39;;8;31/01/26;;;;;31,8;27,9;27,7;31,4;34,4;40,8;;31,9
9199;MIRTILLE;39;;6;03/01/25;27,8;30,7;30,6;33,8;39,0;;26,4;31,4;29,5;32,2;36,0;30,9
9217;METIS;39;;6;21/10/24;33,1;35,0;35,7;;33,5;28,8;28,8;30,7;31,6;34,8;37,6;31,2
9222;MARGUERITE;39;;6;04/02/25;27,5;31,0;31,3;33,9;34,3;39,9;;31,8;29,4;34,9;;
9235;NAIROBIE;39;;6;04/07/25;;;28,4;31,9;29,6;30,6;28,2;36,8;27,7;30,5;32,4;
9251;NIRVANA;39;;6;01/03/25;30,0;33,5;34,2;37,9;36,9;40,8;;31,4;31,2;37,7;44,7;35,8
9255;NIAOULIE;39;;6;29/03/25;;31,7;32,0;35,7;35,0;38,5;;30,5;32,4;38,2;44,0;25,5
9259;NEBULEUSE;39;;7;04/11/25;;;;30,0;31,1;32,0;29,1;37,0;;;29,2;30,3
9267;NAMI;39;;5;28/02/25;29,7;33,0;33,6;36,4;36,0;40,4;;31,9;32,2;35,8;38,8;26,7
9270;NECTARINE;39;;6;12/07/25;;;;29,4;26,0;27,7;27,2;33,3;26,8;28,2;33,4;28,7
9291;OLYMPIE;39;;5;16/02/25;31,0;31,7;31,8;36,2;35,2;40,0;;33,6;30,4;36,0;39,4;27,5
9293;OGRESSE;39;;4;23/03/25;28,6;31,3;29,7;32,9;31,3;33,5;;30,2;30,1;30,3;32,9;28,8
9313;OMELETTE;39;;6;09/11/25;;;;;;27,1;25,5;32,3;30,1;37,2;35,5;29,6
9318;ORIGINE;39;;4;18/02/25;30,5;31,7;31,0;36,0;33,5;41,3;;29,3;30,2;34,2;40,2;25,9
9326;ORGE;39;;6;03/12/25;;;;;;;26,8;31,1;32,6;;29,0;29,5
9335;OXYGENE;39;;6;28/02/26;;;;;;;;28,3;27,1;32,4;;
9344;PAQUERETTE;39;;5;10/02/26;;;;27,2;26,0;27,0;27,4;30,8;29,7;;;26,4
9347;PANACEE;39;;4;03/12/25;;;;31,4;30,5;32,0;30,0;34,6;38,1;;30,0;25,4
9367;PAELLA;39;;5;03/09/25;;;;29,9;28,8;28,8;29,3;34,3;;28,8;30,1;27,8
9372;PISTACHE;39;;5;15/09/25;;;;;;25,5;25,8;31,3;32,3;31,6;31,2;24,3
9376;PACIFIQUE;39;;5;21/10/25;;;;;27,4;HN;25,9;31,9;;;28,3;27,3
9379;PAILLE;39;;5;06/01/26;;;;;;;29,1;33,4;32,8;37,8;;26,6
9387;PAISIBLE;39;;5;06/11/25;;;;;;28,9;28,5;34,3;34,4;;30,6;28,8
9388;POLYNESIE;39;;6;09/02/26;;;;;;;;;;27,5;31,6;23,0
9391;PENELOPE;39;;5;29/01/26;;;;;;;;30,7;30,1;33,3;;29,2
9398;PISSENLIE;39;;4;08/07/25;;;HN;30,3;29,2;32,4;30,2;33,6;28,3;HN;35,3;25,9
9399;PYGMEE;39;;4;17/05/25;27,3;28,6;29,0;32,9;30,5;;;;26,2;30,3;32,2;28,2
9404;PASSIFLORE;39;;2;27/05/25;36,9;37,0;39,9;49,9;49,6;49,2;;;27,8;30,4;34,7;30,6
9406;PIVOINE;39;;4;26/05/25;;;30,0;32,1;31,3;35,0;30,8;;27,6;HN;36,9;36,2
9408;PATATA;39;;3;18/05/25;32,8;36,0;36,2;40,5;40,7;43,7;48,6;;26,8;29,7;35,5;31,2
9411;PAPAYE;39;;4;27/04/25;;;27,5;31,9;32,6;33,3;31,6;;29,3;35,1;40,6;22,1
9413;PADAWANE;39;;4;13/01/26;;;;;;;22,7;29,3;28,1;32,9;;27,9
9415;RAINETTE;39;;3;27/05/25;31,9;34,0;33,2;37,5;38,3;37,6;36,9;;28,4;30,9;31,3;24,6
9419;ROXANE;39;;4;18/11/25;;;;28,8;30,0;27,9;27,0;34,7;40,8;;28,4;29,5
9427;ROBUSTA;39;;3;18/03/25;;28,7;31,7;33,8;32,0;36,5;;28,8;28,6;33,3;37,2;24,7
