Animal;;;;;;Mamelle;;;;Contrôles;;;;;;;;;
Trav;Nom;Race;Index;N°;Début;SDIR n-1;SDIR;Dernière Lactation;;28/04/25;;01/08/25;;09/10/25;;06/01/26;;04/03/26;
;;;;;;;;Nb Ma;Quartier;Leuco;Ma;Leuco;Ma;Leuco;Ma;Leuco;Ma;Leuco;Ma
9093;LAZURE;39;;8;17/11/25;I;R;;;1229;;3637;;873;;1361;;1651;
9117;LAMBADA;39;;8;10/05/25;R;D;;;;;309;;195;;386;;1468;
8668;FELLAH;39;;13;01/06/25;R;R;1;;;;5467;1;566;;562;;1465;
9048;LUTECE;39;;9;09/08/25;D;D;;;263;;;;359;;277;;1410;
9372;PISTACHE;39;;5;15/09/25;S;D;;;63;;187;;69;;103;;1390;
9267;NAMI;39;;5;28/02/25;S;D;;;30;;57;;27;;34;;979;
9415;RAINETTE;39;;3;27/05/25;S;D;1;;;;335;1;71;;59;;908;
9677;TAGADA;35;;1;08/02/26;;D;;;;;;;;;;;890;
9020;;39;;9;14/09/25;D;D;;;251;;;;510;;143;;676;
9682;UTOPIA;39;;1;17/02/26;;D;;;;;;;;;;;666;
9217;METIS;39;;6;21/10/24;D;D;;;82;;318;;91;;95;;457;
8961;ISIS;39;;8;16/06/25;S;I;;;;;3105;;1993;;154;;388;
9462;RIVIERE;39;;3;20/05/25;S;D;;;;;52;;39;;63;;364;
8913;IGNIAME;39;;9;26/10/25;D;D;;;906;;;;;;132;;357;
9391;PENELOPE;39;;5;29/01/26;S;D;;;146;;158;;197;;;;323;
9612;TISANE;39;;1;26/11/24;;D;;;322;;239;;261;;183;;287;
9064;LAFONTAINE;39;;8;20/05/25;S;S;;;;;203;;196;;189;;249;
9326;ORGE;39;;6;03/12/25;S;S;;;40;;172;;;;41;;228;
9387;PAISIBLE;39;;5;06/11/25;S;S;;;112;;191;;;;122;;185;
9613;TITANE;39;;1;14/03/25;;D;;;44;;81;;341;;99;;173;
9120;LAROUSSE;39;;7;31/03/25;S;D;;;112;;5832;;109;;74;;167;
9585;SUCRINE;39;;2;12/11/25;S;S;;;97;;74;;79;;44;;163;
9604;TOPAZE;39;;2;19/11/25;S;S;;;115;;71;;62;;53;;161;
9480;RATOMA;39;;3;20/05/25;S;S;;;;;90;;272;;108;;155;
9473;RICOCHETTE;39;;3;31/12/25;S;;;;39;;107;;138;;;;152;
9671;TOUCANA;39;;1;29/08/25;;S;;;;;;;25;;39;;151;
9603;THOUERIS;39;;2;12/11/25;S;S;;;112;;177;;53;;106;;148;
9432;RAPIDE;39;;5;24/02/26;;;;;;;;;40;;;;142;
9313;OMELETTE;39;;6;09/11/25;S;S;;;13;;29;;21;;22;;140;
9641;TREFLE;39;;1;25/08/25;;S;;;;;;;55;;131;;131;
9270;NECTARINE;39;;6;12/07/25;D;D;;;501;;198;;483;;679;;124;
9193;MOKA;39;;8;31/01/26;S;;;;37;;226;;146;;;;115;
9529;SOLUBLE;39;;3;13/02/26;S;;;;25;;272;;100;;;;111;
9367;PAELLA;39;;5;03/09/25;S;S;;;99;;;;13;;32;;109;
9427;ROBUSTA;39;;3;18/03/25;S;S;;;33;;33;;26;;36;;107;
9251;NIRVANA;39;;6;01/03/25;D;S;;;58;;178;;140;;251;;105;
9388;POLYNESIE;39;;6;09/02/26;D;;;;;;;;100;;2522;;98;
9610;TAHITI;39;;1;12/04/25;;S;;;;;102;;64;;46;;95;
9593;TULIPE;39;;2;22/10/25;D;S;;;101;;71;;106;;169;;92;
9435;RHUBARBE;39;;3;05/07/25;S;S;;;70;;47;;39;;114;;91;
9291;OLYMPIE;39;;5;16/02/25;D;S;;;120;;209;;157;;151;;88;
9406;PIVOINE;39;;4;26/05/25;S;S;;;;;25;;98;;70;;86;
9438;REGION;39;;3;20/05/25;D;S;;;;;21;;76;;49;;85;
9509;SOLSTICE;39;;3;06/07/25;D;S;;;;;146;;29;;33;;82;
9620;TRUFFE;39;;1;09/05/25;;S;;;;;15;;48;;98;;82;
9376;PACIFIQUE;39;;5;21/10/25;S;S;;;95;;;;;;100;;77;
9379;PAILLE;39;;5;06/01/26;D;;;;71;;7638;;270;;;;74;
9696;URAEUS;39;;1;29/01/26;;;;;;;;;;;;;72;
9199;MIRTILLE;39;;6;03/01/25;S;S;;;75;;200;;52;;115;;64;
9639;TARATATA;39;;1;31/08/25;;S;;;;;;;24;;42;;63;
9631;TANZANIE;39;;1;16/09/25;;S;1;;;;;;210;1;93;;60;
9533;SUBLIME;39;;2;27/05/25;S;S;;;;;24;;168;;34;;59;
9694;URANUS;39;;1;10/01/26;;;;;;;;;;;;;57;
9411;PAPAYE;39;;4;27/04/25;S;S;;;;;45;;61;;46;;56;
9460;RADJAH;39;;3;27/05/25;S;S;;;;;69;;30;;46;;56;
9534;SOUVERAINE;39;;3;11/01/26;D;;;;82;;377;;806;;;;56;
9413;PADAWANE;39;;4;13/01/26;S;;;;25;;44;;43;;;;55;
9504;SIDOINE;39;;3;20/05/25;S;S;;;;;22;;20;;30;;55;
9447;RAVIGOTE;39;;3;23/05/25;S;S;;;;;101;;70;;75;;53;
9530;;39;;2;16/05/25;D;S;;;;;53;;115;;139;;53;
9318;ORIGINE;39;;4;18/02/25;S;D;;;40;;7722;;218;;248;;50;
9344;PAQUERETTE;39;;5;10/02/26;S;;;;104;;154;;;;;;46;
9398;PISSENLIE;39;;4;08/07/25;I;D;;;82;;395;;57;;215;;46;
9408;PATATA;39;;3;18/05/25;D;S;;;;;130;;78;;119;;46;
9511;SINCERE;39;;3;09/12/25;S;;;;55;;149;;;;;;45;
9293;OGRESSE;39;;4;23/03/25;S;D;;;107;;581;;1678;;154;;43;
9002;JOYEUSE;35;;8;20/02/26;D;;;;62;;598;;51;;;;41;
9714;USOPPA;39;;1;16/02/26;;;;;;;;;;;;;40;
9404;PASSIFLORE;39;;2;27/05/25;S;S;;;;;71;;54;;50;;39;
9531;;39;;2;03/06/25;S;S;;;;;67;;26;;56;;38;
9347;PANACEE;39;;4;03/12/25;D;S;;;49;;86;;;;76;;36;
9448;RAMETTE;39;;4;27/11/25;S;S;;;32;;63;;101;;26;;32;
9419;ROXANE;39;;4;18/11/25;I;S;;;9596;;9999;;;;235;;31;
9175;MAMBA;39;;8;28/10/25;D;S;;;51;;6685;;;;26;;26;
9399;PYGMEE;39;;4;17/05/25;S;S;;;;;23;;11;;73;;26;
9498;REVEILLONE;39;;3;26/04/25;S;S;;;;;125;;87;;127;;25;
9259;NEBULEUSE;39;;7;04/11/25;S;S;;;164;;;;;;28;;24;
9141;MALAGA;39;;7;14/03/25;S;S;;;73;;79;;68;;73;;23;
9517;SUPREME;39;;3;06/12/25;S;S;;;73;;137;;;;22;;21;
9140;MAGNOLIA;39;;7;20/09/25;S;S;;;28;;;;28;;22;;17;
9255;NIAOULIE;39;;6;29/03/25;S;S;;;35;;80;;109;;57;;15;
8864;HYACINTHE;39;;10;25/03/25;S;D;;;260;;648;;625;;247;;;
9222;MARGUERITE;39;;6;04/02/25;S;D;;;22;;91;;727;;;;;
9235;NAIROBIE;39;;6;04/07/25;S;S;;;92;;108;;40;;77;;;
9335;OXYGENE;39;;6;28/02/26;S;;;;37;;145;;80;;;;;
9449;RUTABAGA;39;;3;30/05/25;S;S;;;;;19;;55;;106;;;
9464;ROQUETTE;39;;3;27/05/25;S;D;1;;;;6098;1;110;;53;;;
9537;SATURNE;39;;3;03/03/26;D;;;;146;;302;;186;;54;;;
9638;TIJUANA;39;;1;19/08/25;;S;;;;;;;69;;42;;;
9667;TEMERAIRE;39;;1;24/02/26;;;;;;;;;;;;;;
9685;ULTRA;39;;1;28/02/26;;;;;;;;;;;;;;
9700;UPA UPA;39;;1;24/02/26;;;;;;;;;;;;;;
9734;URE;39;;1;24/02/26;;;;;;;;;;;;;;
